,NO,rotation_det,log_left,log_right
0,27,-1,22,34
1,34,-1,27,21
2,21,-1,34,1
3,1,-1,21,23
4,23,-1,1,17
5,17,-1,23,32
6,32,-1,17,12
7,12,1,32,19
8,19,1,12,3
9,3,-1,19,7
10,7,-1,3,33
11,33,1,7,22
12,22,1,33,27
