,NO,rotation_det,log_left,log_right
0,0,-1,1,12
1,12,1,0,4
2,4,1,12,2
3,2,1,4,7
4,7,-1,2,3
5,3,-1,7,6
6,6,-1,3,11
7,11,1,6,9
8,9,-1,11,13
9,13,1,9,5
10,5,-1,13,8
11,8,1,5,10
12,10,1,8,1
13,1,-1,10,0
