,NO,rotation_det,log_left,log_right
0,19,1,8,17
1,17,-1,19,12
2,12,-1,17,21
3,21,-1,12,1
4,1,1,21,23
5,23,1,1,3
6,3,1,23,22
7,22,1,3,27
8,27,1,22,7
9,7,1,27,32
10,32,1,7,29
11,29,-1,32,26
12,26,1,29,14
13,14,-1,26,31
14,31,-1,14,28
15,28,1,31,6
16,6,1,28,9
17,9,1,6,18
18,18,1,9,10
19,10,-1,18,5
20,5,-1,10,2
21,2,1,5,4
22,4,1,2,20
23,20,1,4,25
24,25,1,20,24
25,24,-1,25,30
26,30,-1,24,8
27,8,1,30,19
